rok,miasto,aktor,wydarzenie,liczba,zrodlo,kategoria,plik_zrodlowy
2009,PL,OPZZ,demonstracja,2000,Dziennik Trybuna,,frekwencja_warszawa_zwiazki.tsv
2009,PL,OPZZ,demonstracja,1000,Wprost,,frekwencja_warszawa_zwiazki.tsv
2009,PL,OPZZ,demonstracja,1500,PAP,,frekwencja_warszawa_zwiazki.tsv
2009,PL,OPZZ,demonstracja,2500,Lewica.pl,,frekwencja_warszawa_zwiazki.tsv
2010,PL,OPZZ,demonstracja,1000,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
2010,PL,OPZZ,demonstracja,300,Rzeczpospolita,,frekwencja_warszawa_zwiazki.tsv
2010,PL,OPZZ,demonstracja,200,TPZ,,frekwencja_warszawa_zwiazki.tsv
2010,PL,OPZZ,demonstracja,500,Wprost,,frekwencja_warszawa_zwiazki.tsv
2010,PL,OPZZ,demonstracja,200,RMF.FM,,frekwencja_warszawa_zwiazki.tsv
2011,PL,OPZZ,demonstracja,200,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
2011,PL,OPZZ,demonstracja,100,Rzeczpospolita,,frekwencja_warszawa_zwiazki.tsv
2011,PL,OPZZ,demonstracja,100,Wprost,,frekwencja_warszawa_zwiazki.tsv
2012,PL,OPZZ,demonstracja,5000,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
2012,PL,OPZZ,demonstracja,15000,TPZ,,frekwencja_warszawa_zwiazki.tsv
2012,PL,OPZZ,demonstracja,12000,Lewica.pl,,frekwencja_warszawa_zwiazki.tsv
2012,PL,OPZZ,demonstracja,15000,FZZHiM,,frekwencja_warszawa_zwiazki.tsv
2013,PL,OPZZ,demonstracja,20000,TPZ,,frekwencja_warszawa_zwiazki.tsv
2013,PL,OPZZ,demonstracja,20000,Lewica.pl,,frekwencja_warszawa_zwiazki.tsv
2013,PL,OPZZ,demonstracja,20000,FZZHiM,,frekwencja_warszawa_zwiazki.tsv
2014,PL,OPZZ,demonstracja,10000,TPZ,,frekwencja_warszawa_zwiazki.tsv
2014,PL,OPZZ,demonstracja,6000,Lewica.pl,,frekwencja_warszawa_zwiazki.tsv
2014,PL,OPZZ,demonstracja,6000,Przegląd Socjalistyczny,,frekwencja_warszawa_zwiazki.tsv
2016,PL,OPZZ,demonstracja,1000,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
2016,PL,OPZZ,demonstracja,5000,TPZ,,frekwencja_warszawa_zwiazki.tsv
2016,PL,OPZZ,demonstracja,5000,FZZHiM,,frekwencja_warszawa_zwiazki.tsv
2017,PL,OPZZ,demonstracja,300,Gazeta Wyborcza,,frekwencja_warszawa_zwiazki.tsv
2017,PL,OPZZ,demonstracja,1000,Polskie Radio,,frekwencja_warszawa_zwiazki.tsv
2018,PL,OPZZ,demonstracja,1000,TPZ,,frekwencja_warszawa_zwiazki.tsv
2018,PL,OPZZ,demonstracja,500,Wprost,,frekwencja_warszawa_zwiazki.tsv
2018,PL,OPZZ,demonstracja,1000,FZZHiM,,frekwencja_warszawa_zwiazki.tsv
2018,PL,OPZZ,demonstracja,600,Strajk.eu,,frekwencja_warszawa_zwiazki.tsv
