rok,godzina_od,godzina_do,dzielnica,dzielnice_wszystkie,aktor_zgadniety,sekcja,tekst,wiersz_zrodlowy
1994,18:00,,Hohenschönhausen,Hohenschönhausen,PDS;SPD,Scenariusz,"Das „Aktionsbündnis für Soziale Verantwortung“, dem 20 Vereine und Projekte in Hohenschönhausen angehören, veranstaltet ein 1. Mai-Fest zwischen 14 und 18 Uhr im Oberseepark am Wasserturm. Das Motto der Veranstaltung: Statt Wahlkampfschlachten konstruktive Sachpolitik aus sozialem Verantwortungsgefühl. Es werden sich Kandidaten von SPD, PDS, CDU, Bündnis 90/Die Grünen vorstellen, ein Kinderprogram",2500
1994,18:00,,,,SPD,Scenariusz,Die Hohenschönhausener SPD macht bei Musik und Freibier ihre eigene Maifeier. Zwischen 14 und 18 Uhr am Orankebad.,2502
1994,18:00,,,,PDS,Scenariusz,Die Köpenicker PDS lädt ein zu einer Maifeier im Luisenhain von 14 bis 18 Uhr. Es,2507
1994,18:00,,Spandau,Spandau,SPD,Scenariusz,"18:00 Tanz in den Mai SPD, Spandau (BZ 28.04.1994)",2513
1994,19:00,,,,DGB,Scenariusz,"19:00 – Abschlussfest der Aktionswochen gegen Rassismus und Naziterror & Tanz in den Mai im BKA-Zelt. Konerty, taniec, dobra zabawa, organizowane przez DGB Jugend (DGBG6664, s. 37) DGBJugend",2514
1994,19:30,,,,PDS,Scenariusz,Schon am Vorabend ist etwas los. Am 30. April lädt die PDS um 19.30 Uhr in die Kongreßhalle am Alex ein. Reinhold Ändert sowie der Gewerkschafter und Bundestagskandidat Manfred Müller werden dabei sein. Es wird eine Versteigerung geben und Musik für den Tanz in den Mai.,2494
1994,19:30,,,,PDS,Scenariusz,19:30 PDS zaprasza do swojej hali Kongresowej na Alexanderplatz. PDS,2515
1994,20:00,,Prenzlauer Berg,Prenzlauer Berg,SPD,Scenariusz,"20:00 Tanz in den Mai SPD, Prenzlauer Berg (BZ 28.04.1994)",2518
1994,20:36,,,,,Scenariusz,"20:36 – Kreuzberger Patriotischen Demokraten/Realistisches Zentrum (KPD/RZ) at Mahreinekeplatz.  Under the slogan ""against night-time disturbances and senseless violence"". 2500 at attendance, ca.",2538
1995,01:33,,,,DGB,Prasa / Tagesschau," Zaczyna się od relacji z centralnego wydarzenia DGB w Köln, głównym tematem bezrobocie. Wycinki z przemówienia Schulte (1:33), widać jak stoi Schulte i Rau obok siebie",3064
1995,01:45,,,,DAG,Prasa / Tagesschau," 1:45 – krótkie nagranie z 1. Maja DAG, spotkanie w sali. Ale nie może chodzić o likwidację miejsc pracy",3066
1995,02:29,,,,ÖTV,Prasa / Tagesschau, 2:29 – w Monachium głównym tematem negocjacje strajkowe ÖTV,3067
1995,02:45,,,,,Zdjęcia / Tagesschau,2:45 staging iconography staging/czerwony,3050
1995,02:49,,,,,Zdjęcia / Tagesschau,2:49 !1995TagesschauDGBFahrradkorso.png  form/Rowery,3052
1995,09:30,,,,DGB,Scenariusz,"- 09:30 – Bicycle Corso: Organized by the DGB, starting from the DGB-Haus at Keithstraße.",3013
1995,09:30,,Mitte,Mitte;Lichtenberg;Pankow;Köpenick;Treptow;Kreuzberg;Prenzlauer Berg,DGB;PDS;SPD,Prasa / Neues Deutschland / 2. Mai: Mit Herz und Solidarge fühl,"Opis:: (ND-Kirschey). Ein Herz hat der DGB zum Symbol der diesjährigen Maifeiern und als Losung „geliebt, gehaßt, gebraucht - Die Arbeit“ gewählt. Damit soll auf eines der Hauptübel der kapitalistischen Marktwirtschaft, die Arbeitslosigkeit, aufmerksam gemacht werden.  In Berlin und Brandenburg fehlen 640 000 Arbeitsplätze, rund 21 000 Schulabsolventen in der Region werden ohne Ausbildungsplatz bl",3236
1995,10:00,,,,DGB,Scenariusz,- 10:00 – DGB Demonstration: Gathering at Moritzplatz.,3014
1995,10:00,,,,,Scenariusz,"- 10:00-19:00 – Pod hasłem Widerspenstig & Lebendig odbywa się antyfaszystowskie wydarzenie, wymierzone w planowany przez nazistów zgromadzenie, zdaje mi się że chodzi o 8. Maja",3015
1995,11:00,,Mitte,Mitte,DGB,Scenariusz,"- 11:00 – Main Rally and Festival: DGB rally at Köllnischer Park in Mitte, followed by a May Day festival at the same location.",3017
1995,13:00,,,,PDS,Scenariusz,- 13:00 – PDS May Party (Maifete): Held around the Karl-Liebknecht-Haus. It includes:,3019
1995,13:00,,Kreuzberg,Kreuzberg,Antifa,Scenariusz,"- 13:00 – Revolutionary May 1st Demonstration: Starting at Oranienplatz in Kreuzberg towards Brandenburger Tor. Organized by a coalition of anarchists, feminists, maoists, autonomists, Antifa, and squatters.",3023
1995,13:00,,,,,Scenariusz,"- 13:00-18:00, Treptower Park, Rosengarten",3025
1995,13:00,,,,,Scenariusz,"- 13:00-18:00,  Pankower Bürgerpark",3026
